Material Name,Symbol,Category,Phase,t_min (K),t_max (K),A,B,C,D,Max Fit Error (%),R²,Molecular Weight (g/mol),NASA Species (ref),Reference Code,Source / Notes
KOH,KOH,Other technologically relevant materials,a,100,199.07,-53.114298,1713.253828,-10609.466544,23995.459208,2.914,0.99718,56.1056,KOH(a),g,"Alpha,beta. Gurvich,1997 p1031."
KOH,KOH,Other technologically relevant materials,a,199.07,298.15,68.929479,-738.677748,5224.034114,-9212.763511,0.048,0.99999,56.1056,KOH(a),g,"Alpha,beta. Gurvich,1997 p1031."
KOH,KOH,Other technologically relevant materials,b,298.15,517,52.33145,59.126009,-14.394002,9.451414,0.002,1,56.1056,KOH(b),g,"Beta.       Gurvich,1997 p1031."
KOH,KOH,Other technologically relevant materials,c,517,679,79.999544,0,0,0,0,1,56.1056,KOH(c),g,"Gamma.      Gurvich,1997 p1031."
KOH,KOH,Other technologically relevant materials,L,679,6000,86.999504,0,0,0,0,1,56.1056,KOH(L),g,"Liquid.     Gurvich,1997 p1031."
KO2,KO2,Other technologically relevant materials,b,200,422,210.764675,-1371.340262,4390.291335,-4349.277508,3.004,0.98177,71.0971,KO2(b),tpis82,"Tetragonal. Gurvich,1982 pt1 p375 pt2 p405."
KO2,KO2,Other technologically relevant materials,a,422,808,87.999499,0,0,0,0,1,71.0971,KO2(a),tpis82,"Cubic. Gurvich,1982 pt1 p375 pt2 p405."
KO2,KO2,Other technologically relevant materials,L,808,6000,99.99943,0,0,0,0,1,71.0971,KO2(L),tpis82,"Liquid. Gurvich,1982 pt1 p375 pt2 p405."
K2CO3,K2CO3,Other technologically relevant materials,a,200,693,68.935174,149.414784,13.701613,-8.622491,0.097,1,138.2055,K2CO3(a),tpis82,"Monoclinic. Gurvich,1982 pt1 p410 pt2 p434."
K2CO3,K2CO3,Other technologically relevant materials,b,693,1173,108.921379,68.851608,0,0,0,1,138.2055,K2CO3(b),tpis82,"Hexagonal. Gurvich,1982 pt1 p410 pt2 p434."
K2CO3,K2CO3,Other technologically relevant materials,L,1173,6000,205.498829,0,0,0,0,1,138.2055,K2CO3(L),tpis82,"Liquid. Gurvich,1982 pt1 p410 pt2 p434."
